date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:47:52	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Feb%202019%2008:32:17%20GMT	http://factory.w3itexperts.com/robots.txt		(from )
05:47:53	86532/86532	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:47:52%20GMT	http://factory.w3itexperts.com/xhtml/	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/index.html	(from )
05:47:55	4464/4464	---M--	200	added ('OK')	image/png	etag:%22687e86254e979360c724c73256630187%22	https://s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/images/favicon.png	C:/My%20Web%20Sites/hey/s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/images/favicon.png	(from http://factory.w3itexperts.com/xhtml/)
05:47:56	1251/1251	---M--	200	added ('OK')	text/css	etag:%22ee11baaa4011705c0683fb5d89769a1d%22	https://s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/css/plugins.css	C:/My%20Web%20Sites/hey/s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/css/plugins.css	(from http://factory.w3itexperts.com/xhtml/)
05:47:58	3910/3910	---M--	200	added ('OK')	text/css	etag:%222288a458e5cf9f575117d40abd28413e%22	https://s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/css/skin/skin-1.css	C:/My%20Web%20Sites/hey/s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/css/skin/skin-1.css	(from http://factory.w3itexperts.com/xhtml/)
05:47:59	191946/191946	---M--	200	added ('OK')	text/css	etag:%227aa169753c8ba9203a267df2440063cf%22	https://s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/css/style.css	C:/My%20Web%20Sites/hey/s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/css/style.css	(from http://factory.w3itexperts.com/xhtml/)
05:48:00	22015/22015	---M--	200	added ('OK')	text/css	etag:%22fee1c9f7a004dfb6196be5bd85324c17%22	https://s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/css/templete.css	C:/My%20Web%20Sites/hey/s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/css/templete.css	(from http://factory.w3itexperts.com/xhtml/)
05:48:01	48602/48602	---M--	200	added ('OK')	text/css	etag:%22b5d4c6f9c08b89429755df463585eb3e%22	https://s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/plugins/revolution/revolution/css/settings.css	C:/My%20Web%20Sites/hey/s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/plugins/revolution/revolution/css/settings.css	(from http://factory.w3itexperts.com/xhtml/)
05:48:04	62218/62218	---M--	200	added ('OK')	text/css	etag:%2250c663c355c7ed5d50d442f49bdb9bf8%22	https://s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/plugins/revolution/revolution/css/navigation.css	C:/My%20Web%20Sites/hey/s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/plugins/revolution/revolution/css/navigation.css	(from http://factory.w3itexperts.com/xhtml/)
05:48:05	86532/86532	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:02%20GMT	http://factory.w3itexperts.com/xhtml/index.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/index-2.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:05	8633/8633	---M--	200	added ('OK')	image/png	etag:%226758c2fdb174aed7599a367a86478720%22	https://s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/images/logo.png	C:/My%20Web%20Sites/hey/s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/images/logo.png	(from http://factory.w3itexperts.com/xhtml/)
05:48:06	8350/8350	---M--	200	added ('OK')	image/png	etag:%22ebc944058e4a4ad9b00afc48ec880ab5%22	https://s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/images/logo-light.png	C:/My%20Web%20Sites/hey/s3.ap-south-1.amazonaws.com/tm-html/factory/xhtml/images/logo-light.png	(from http://factory.w3itexperts.com/xhtml/)
05:48:07	64715/64715	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:06%20GMT	http://factory.w3itexperts.com/xhtml/index-2.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/index-3.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:08	86121/86121	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:07%20GMT	http://factory.w3itexperts.com/xhtml/index-3.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/index-4.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:08	91245/91245	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:08%20GMT	http://factory.w3itexperts.com/xhtml/index-4.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/index-5.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:09	83242/83242	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:08%20GMT	http://factory.w3itexperts.com/xhtml/index-5.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/index-6.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:09	64031/64031	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:09%20GMT	http://factory.w3itexperts.com/xhtml/index-6.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/index-7.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:10	33615/33615	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:10%20GMT	http://factory.w3itexperts.com/xhtml/header-style-1.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/header-style-1.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:10	34405/34405	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:10%20GMT	http://factory.w3itexperts.com/xhtml/header-style-2.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/header-style-2.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:11	34414/34414	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:11%20GMT	http://factory.w3itexperts.com/xhtml/header-style-3.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/header-style-3.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:12	35469/35469	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:11%20GMT	http://factory.w3itexperts.com/xhtml/header-style-4.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/header-style-4.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:12	33082/33082	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:12%20GMT	http://factory.w3itexperts.com/xhtml/header-style-5.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/header-style-5.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:13	32287/32287	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:12%20GMT	http://factory.w3itexperts.com/xhtml/header-style-6.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/header-style-6.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:13	33619/33619	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:13%20GMT	http://factory.w3itexperts.com/xhtml/header-style-1-dark.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/header-style-1-dark.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:14	34416/34416	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:13%20GMT	http://factory.w3itexperts.com/xhtml/header-style-2-dark.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/header-style-2-dark.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:14	34418/34418	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:14%20GMT	http://factory.w3itexperts.com/xhtml/header-style-3-dark.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/header-style-3-dark.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:15	35942/35942	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:14%20GMT	http://factory.w3itexperts.com/xhtml/header-style-4-dark.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/header-style-4-dark.html	(from http://factory.w3itexperts.com/xhtml/)
05:48:15	33086/33086	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Feb%202019%2009:48:15%20GMT	http://factory.w3itexperts.com/xhtml/header-style-5-dark.html	C:/My%20Web%20Sites/hey/factory.w3itexperts.com/xhtml/header-style-5-dark.html	(from http://factory.w3itexperts.com/xhtml/)
